001|白玫的日常身份是林小璐|秘密身份|TRUE|A|SECRET|新闻可见不等人人看出日常身份。
002|当次受袭地点是湿地公园|地点|TRUE|A|ROLE_RESTRICTED|匿名电话只给地点与危险提示；来电真实主体当时未知。
003|救援者使用翠雀代号|身份|TRUE|A|ROLE_RESTRICTED|另拆花牌号码，不能由报号得男身。
004|摩可称自己偷跑后获播种者任命|组织成员|TRUE|A|PRIVATE|确认自述发生；履历独立可靠性当时只有D，后接登记回复。
005|夏凉所见救援导师是魔法少女翠雀|身份|TRUE|A|ROLE_RESTRICTED|另拆白玫身份；不含林昀。
006|方亭下水道存在蛹巢|秘密地点|TRUE|A|SECRET|先是林的调查假说并告红，后林亲探；不自动把后验证同步红。
007|夏凉已经离家独居|私人秘密|TRUE|A|PRIVATE|说出的离家情况不等完整家史。
008|林昀葬礼拥抱荼蘼意味着背弃安雅|动机认知|FALSE|A|PRIVATE|小璐的解释有误；当时是安慰与警告传递，夏只听小的版本。
009|葬礼时有人经荼蘼劝林昀勿冲动追查|历史事件|TRUE|A|PRIVATE|属官自称来自猫眼，不能直接认定每层原话与动机。
010|荼蘼已在滨海断后牺牲|生死状态|TRUE|A|ROLE_RESTRICTED|死亡与林后来获讯分开。
011|=006|亲探补证同一蛹巢命题；保留红只获假说的阶段。
012|摩可的播种者登记回复已经递达林昀|组织权限|TRUE|A|ORGANIZATION_INTERNAL|外市播种者转交，非完整履历证明。
013|爪痕与樱之死有因果关联|事件真相|UNKNOWN|D|SECRET|摩丝提供线索和猜测；全书没有可据此锁定全部幕后链的证据。
014|夏凉父亲已死且母亲因杀父入狱|私人秘密|TRUE|A|PRIVATE|当代翠从夏自述及回忆得家史，儿童自责与母亲动机另判。
015|=014|记录小璐未获完整家史，不重复建立同一家庭命题。
016|红思与是已退役的朝颜|身份|TRUE|A|ROLE_RESTRICTED|仅该历史阶段；后续复力不取消当时退役事实。
017|花级不等于持有花牌|能力机制|TRUE|A|COMMON|摩可的混淆由红解释纠正；制度细节不因该句全掌握。
018|纪念日林昀外出是为与安雅的纪念日选礼|动机认知|TRUE|A|PRIVATE|跟踪者原误会被共同选礼纠正，不顺带揭其他秘密。
019|林昀在女儿坦白前已经知道她是白玫|人际关系|TRUE|A|PRIVATE|EV0019只构成暴露线索；明确解释获知时间在EV0020 L4299–4311。
020|林昀与翠雀是同一人|秘密身份|TRUE|A|HIGHLY_SECRET|单独于矢/翠/龙少女代号链、性别来源和女王身世；夏确知同一性仍误会来源。
021|安雅曾与翠雀在旧方亭小队共同活动|人际关系|TRUE|A|PRIVATE|合照只支持旧交，不包含男身。
022|安雅的魔法少女身份是樱且持终身资格|身份|TRUE|A|PRIVATE|终身资格与其称号不推出全知或无敌。
023|安雅死后遗体消散|历史事件|TRUE|A|SECRET|林未在场，后辈转述给林；不向所有队员授予尸体现象细节。
024|夏凉在EV0022晋升芽级|能力机制|TRUE|A|ROLE_RESTRICTED|另拆引离已观察功能，不预载后期穿墙。
025|摩可已向白静萱许诺变身能治病和复眼|人际关系|TRUE|A|PRIVATE|许诺发生可确证；另拆复眼可行性，不能把许诺当疗效。
026|福利院黑袍人在寻找白静萱|战斗情报|TRUE|A|SECRET|她先偷听左眼线索推知，不是由摩可首次告知才知道。
027|白静萱已成为魔法少女薄雪|身份|TRUE|A|PRIVATE|田当面见变身；记忆后遗缺口另接，不假定永久完整记得。
028|薄雪的魔力在本次救援中具有疗伤效果|能力机制|TRUE|A|ROLE_RESTRICTED|观察的个案，不等知道病因或能复所有伤。
